title,description,property_type,status,price,bedrooms,bathrooms,latitude,longitude,loc_name,loc_city,loc_country
Beachfront Paradise Villa,Beautiful luxury villa right on the sandy beaches with breathtaking views.,Vacation Rental,Active,350.00,4,3,23.8103,90.4125,Dhaka Corporate Hub,Dhaka,Bangladesh
Cozy Mountain Log Cabin,A quiet and warm wooden log cabin nestled deep in the snowy pine forests.,Cabin,Active,180.00,2,1,40.7128,-74.0060,Manhattan Alpine Escape,New York,United States
Modern Downtown Loft,Stylish high-rise apartment in the heart of the city close to neon-lit avenues.,Loft,Active,125.00,1,1,35.6762,139.6503,Shinjuku Skyline Suites,Tokyo,Japan
Serene Lakeside Cottage,Charming cottage sitting directly on a crystal clear lake with a private fishing dock.,Cottage,Active,210.00,3,2,48.8566,2.3522,Paris Riviera Estate,Paris,France
Gulshan Luxury Penthouse,An opulent double-story penthouse overlooking the serene Gulshan Lake with private terrace access.,Vacation Rental,Active,450.00,5,5,23.7925,90.4150,Gulshan Diplomatic Zone,Dhaka,Bangladesh
Banani Urban Studio,Sleek and compact minimalist layout ideal for corporate professionals and single weekend travelers.,Loft,Active,75.00,1,1,23.7940,90.4042,Banani Business District,Dhaka,Bangladesh
Dhanmondi Heritage Cottage,A beautifully restored red-brick cottage featuring a traditional green courtyard and veranda.,Cottage,Active,160.00,3,2,23.7461,90.3742,Dhanmondi Lakeside Enclave,Dhaka,Bangladesh
Seine River View Apartment,Elegant studio apartment showcasing panoramic views of the water right in central Paris.,Loft,Active,195.00,1,1,48.8536,2.3488,Notre-Dame Historical Zone,Paris,France
Charming Montmartre Studio,A cozy hidden artist apartment nestled right along the historic cobblestone streets of Paris.,Loft,Active,115.00,1,1,48.8864,2.3354,Montmartre Arts District,Paris,France
Eiffel Tower Premium Suite,Stunning luxury stay within immediate walking distance of the tower gardens.,Vacation Rental,Active,550.00,3,2,48.8582,2.2945,Champ de Mars Enclave,Paris,France
